word,isWord
"妈系",true
"我欺",false
"何为",false
"独党",false
"当没",false
"去演",false
"嫁掉",false
"弄卷",false
"首场",true
"剃去",true
"资本家们",true
"立着",false
"卒读",false
"后移",true
"小龟",true
"逼得",false
"牵来",false
"拔啊",false
"手无缚鸡",true
"红的",false
"价嘛",false
"一搏",true
"喂蚊",false
"一面之辞",true
"六百多亿",false
"或早",false
"老态龙钟",true
"或时",false
"侧耳倾听",true
"差不多啊",false
"逢春",false
"唔知做乜",false
"立省",false
"船于",false
"德蕾莎修女",true
"得瞓",false
"据大",false
"罚到",false
"长沙市人",true
"日内",false
"灯火通明",true
"蚊起",false
"啧啧啧啧",false
"喷杀虫剂",false
"费尽心血",true
"推却",true
"疴到",false
"物理学院",true
"当水",false
"弄台",false
"长此下去",true
"白巧克力",true
"掐人",false
"瞪大",false
"银货两讫",true
"凸凸凸凸",false
"李旺阳妹",false
"易变",false
"易受",false
"有节",true
"易发",false
"日减",false
"红白",true
"可联",false
"在荒",false
"猿是",false
"明修栈道",true
"弄去",false
"叫开",false
"值得一看",false
"想读",false
"添乱",true
"孤军奋战",true
"美得",false
"混口饭吃",true
"将死",false
"将此",false
"忧患实多",true
"冇叫",false
"登愣",false
"未到",false
"星男",false
"看几",false
"妳不",false
"妳上",false
"施人之惠",true
"小林幸子",true
"黎讲",false
"妳一",false
"捧人",false
"杜瓦米什族",true
"多水",false
"喊好",false
"全对",false
"妳个",false
"衬出",true
"巴克莱银行",true
"妳为",false
"妙笔生花",true
"们玩",false
"戳过",false
"股好",false
"版再",false
"笑疯",false
"生风",false
"妳也",false
"挽到",false
"些微",false
"弄到",true
"地缝",true
"集水",false
"骗入",false
"小黑",true
"惺惺惜惺惺",false
"干硬",true
"民的",false
"可致",false
"渣得",false
"东安路站",true
"扭出",true
"晾的",false
"七五三六九",false
"小黄",true
"小黎",true
"妳买",false
"将比",false
"冲毁",true
"在舔",false
"小鸡",true
"当活",false
"甭去",false
"无风",false
"度上",false
"力中",false
"奶没",false
"爱钱如命",true
"腰肌劳损",true
"有艾",false
"巴不得借",false
"我个雷人",false
"插到",false
"掏到",false
"早推",false
"阿部真央",true
"美廉",true
"差不多咧",false
"倒满",false
"当洗",false
"点到为止",true
"排斥异己",true
"爆既",false
"窜改",true
"拌好",false
"别到",false
"小鹿",true
"的歌",false
"玩下",false
"玩不",false
"最外",false
"差不多哈",false
"初建",false
"强到",false
"修昔底德",true
"猿最",false
"在艾",false
"拍拍拍拍拍",false
"猿有",false
"美庐",false
"扬汤止沸",true
"岛上",false
"玩个",false
"玩中",false
"爱生怖畏",false
"三头六臂",true
"正阿",false
"博更",false
"忽传",true
"里男",false
"倒没",false
"有耶",false
"料啊",false
"首唱",true
"恨不得都",false
"利多卡因",false
"如艾",false
"起病",false
"回汉",true
"没过几天",false
"掐的",false
"进成",false
"恩啊恩啊",false
"肉炒",false
"下床",false
"也回",false
"下店",false
"钱哟",false
"价呢",false
"哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈",false
"干等",true
"翻墙真爽",false
"一天开始",false
"日半",true
"连招",true
"价吗",false
"四舅五婶六姨",false
"零时零分",true
"均安",false
"飞猫",true
"拔屌无情",true
"品读",true
"微博公测",false
"含悲",false
"美崇",false
"价吧",false
"谈人",false
"劈腿",true
"有肿",false
"水龟",true
"美巴",false
"看第",false
"星帮",false
"美差",false
"郎是",false
"弄出",false
"易出",false
"像泥",false
"有股",false
"你姨",false
"只玩",false
"扭到",false
"低得",false
"或有",false
"含恨",true
"九点五十分",true
"逊的",false
"现买",true
"害我",false
"阿哈哈哈哈哈",false
"但不知道",false
"地系",false
"害成",false
"千岛",true
"一览众山小",true
"三聚氰胺奶",true
"冇几",false
"有能",false
"厚德载雾",true
"会好",false
"汉姆万人迷",false
"买股",false
"据守",true
"纨绔子弟",true
"少陪",false
"找草",false
"夏虫不可语冰",false
"八次",false
"少到",false
"起电",false
"有胖",false
"现为",false
"诺氟沙星",true
"算的",false
"地精",true
"朱瑞丽娅",true
"如泥",false
"色一",false
"下微",false
"真像",false
"小鲸",false
"尼伯龙根",true
"价啊",false
"可耐",false
"弓着",false
"美屡",false
"戴着",false
"得寸进尺",true
"可获",false
"域内",false
"五香",true
"有脑",false
"弄假",true
"哈哈哈哈",false
"开玩笑咯",false
"扭去",false
"作供",false
"下得",false
"栽上",true
"易做",false
"有脏",false
"极美",false
"叫苦连天",true
"日到",false
"杯葛",false
"回才",false
"降为",false
"或曰",false
"郑性泽案",false
"逛遍",false
"日进万余",false
"病好",false
"做蛋",false
"恐再",false
"误读",true
"点多一点",false
"多汗",true
"美少",false
"杭椒牛柳",true
"喝耶",false
"条缝",false
"或曝",false
"弄倒",false
"讯第",false
"勇闯",true
"下张",false
"全套",true
"与民",false
"没脸见人",true
"弄僵",true
"进推",false
"笑着",false
"马克吐温",true
"地给",false
"全好",false
"梅龙镇店",true
"听落",false
"在耶",false
"将校",true
"位及",false
"由此及彼",false
"变老",true
"小鱼",true
"有自",false
"断锁",false
"起球",false
"对症",true
"饭比",false
"跟曹",false
"掐着",false
"喊它",false
"睡吗",false
"店我",false
"喊完",false
"碟中",false
"澳国",true
"三十而立",true
"严新",false
"或晚",false
"者死",false
"当梦",false
"多加小心",true
"自得",false
"金厉旭金",false
"均已",false
"噜噜噜噜",false
"永祥烧腊",false
"婆婆妈妈们",false
"经摔",false
"的模",false
"同在",true
"正选",false
"福尔摩沙",true
"地空",false
"一拉",false
"肉的",false
"更有甚者",true
"马特戴蒙",true
"日啊",false
"插车",false
"我的碎碎念",false
"苦累",false
"不可预测性",true
"倍于",false
"飞甩",false
"圈占",false
"果只",false
"乐见",false
"足使",false
"确是",false
"一键",true
"身首异处",true
"被扒",false
"看紧",false
"向正",false
"向此",false
"千人一面",true
"敬到",false
"烧开",false
"腾迅微博",true
"谤满天下",true
"踩水",false
"德云社特",false
"送嘅",false
"熊一",true
"挤呀",false
"爽着",false
"发神经病",false
"突遭",false
"咋卖",false
"冲满",false
"或意",false
"操来操去",true
"美寓",true
"轰到",false
"送粥",false
"弄垮",true
"首句",false
"到奣",false
"美宴",false
"由南向北",true
"首台",false
"科荟路店",true
"已深",false
"得要",false
"货是",false
"钱呐",false
"撩到",false
"装阿",false
"观推",false
"勇做",false
"变蛋",false
"叉出",false
"足三",false
"走入",false
"称上",false
"插柳",true
"位啥",false
"斯琴格日乐",true
"牵手",true
"假手于人",false
"小骨",false
"池鱼之殃",true
"内内",false
"捕蚊达人",false
"门要",false
"败则",false
"有若",false
"抗风",false
"狼烟四起",true
"有苦",false
"跳霹雳舞",false
"挤在",false
"毛好",false
"像欸",false
"日呀",false
"十点零五分",true
"地笑",false
"确有",false
"咧我",false
"正酣",false
"而用",false
"阿有木有",false
"唔甩",false
"十米",true
"此在",false
"尽最",false
"小高",false
"事因",true
"好不好找",false
"出操",true
"早来",false
"输球",true
"下大",false
"日和",true
"自立更生",true
"进新",false
"全归",false
"非诚勿游",true
"下天",false
"半疯",false
"还敢",false
"祗是",false
"美其",false
"话锋一转",true
"活阿",false
"为敌",false
"崇德雍翠",false
"均属",false
"果到",false
"有苍",false
"笑煞",false
"到后",false
"罢推",false
"日哟",false
"当楼",false
"下女",false
"下好",false
"船屋",false
"小马",true
"地管",false
"发艾未未",false
"日哪",false
"出埃及记",true
"美媒",true
"下套",false
"心因",false
"对丫",true
"日圆",false
"美女",true
"韩三",false
"就困",false
"有嘉",false
"跨着",false
"做满",false
"奄美",false
"对上",false
"对不",false
"美奖",false
"披着",false
"共饮",true
"杆秤",false
"登查",false
"艾也",false
"温云超林书豪",false
"有萌",false
"忌与",false
"把肝",false
"美奂",false
"对习",false
"系因",false
"地砖",true
"交通号志",false
"最严",true
"跨省",true
"天蝎座们",true
"半白",false
"半百",false
"配叫",false
"对之",false
"下嫁",true
"啊啊",false
"有著",false
"憋住",true
"断那",false
"等餐",false
"博把",false
"森山直太朗",true
"冲水",false
"向楠",false
"地磁",true
"扒个",false
"对人",false
"一楼",true
"强啊",false
"少阿",false
"执迷不悔",true
"对事",false
"住乐基儿",false
"成阿",false
"登来",false
"讯继",false
"睬你",false
"魔要",false
"问推",false
"轩吧",false
"抠到",false
"看罢",false
"叉到",false
"跟风",true
"的梗",false
"造完",false
"小青年们",true
"小饮",false
"对价",false
"登月",true
"柑蕉桔梨碌柚",false
"揉成",false
"倒读",false
"据微",false
"干翻",true
"等你",false
"美如",false
"对他",false
"睬他",false
"讯网",true
"再装",true
"阿以",false
"嚼蜡",false
"变苦",false
"德艺双馨",true
"头菜",false
"当涂",false
"意到",false
"唱支",false
"变蓝",false
"跨浏览器",false
"对伍",false
"位坐",false
"丰臣秀吉",true
"下完",false
"真李在真",false
"小额",true
"街啦",false
"踱到",false
"阿他",false
"对伐",true
"窒到",false
"下官",false
"存上",false
"存下",true
"连看",false
"误进",false
"弄吧",false
"对佢",false
"路走",false
"误过",false
"而眠",false
"延世大学",true
"班里",false
"位在",false
"喊开",false
"对位",false
"对住",false
"沿上",false
"旦增",false
"小飘",true
"小食",true
"小飞",true
"存为",false
"对佛",false
"莫水",false
"得懂",false
"轰出",true
"呜阿",false
"均应",false
"秀外惠中",true
"家学渊源",true
"犍为",false
"强呀",false
"哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈",false
"官煤",true
"经查",false
"为政",true
"地租",false
"听耶",false
"价出",false
"经某",false
"地积",false
"已无大碍",false
"或成",false
"不见经传",true
"被拘",false
"确无",false
"存于",false
"给穿",false
"飞的",false
"国奥村店",true
"当死",false
"靠靠靠靠",false
"最欢",false
"当歌",false
"我睇",false
"向标",true
"朕与",false
"强吧",false
"戳进",true
"聚少离多",true
"红纸",true
"首张",false
"待读",false
"姐已",false
"握到",false
"会去",false
"低唱",true
"奶绿",true
"剃完",false
"志第",false
"不吝指教",true
"插过",false
"首开",true
"独女",true
"走稳",true
"独好",false
"下咋",false
"插进",true
"扔啊",false
"可被",false
"起的",true
"喊停",true
"办公套件",true
"共需",false
"坂幸太郎",true
"红绿",true
"役满",false
"登榜",true
"美地",true
"听进",false
"听过",false
"缝得",false
"无我",false
"塔在",false
"伴有",false
"抵过",false
"剪出",true
"在读",true
"屡受",false
"会变",false
"侧踢",true
"栓好",false
"在说",false
"下哈",false
"独大",false
"低啊",false
"首当",false
"下哟",false
"香到",false
"美圆",false
"裆在",false
"有妳",false
"下吧",false
"念作",false
"胖总",false
"起网",false
"措施不力",false
"地盖",true
"怒阿",true
"给艾未未",false
"日本三景",false
"干吃",false
"量比",true
"下后",false
"下同",true
"下吗",false
"育出",false
"摩门教徒",true
"法上",false
"人急",false
"番茄红素",true
"讨回",true
"下呢",false
"地的",false
"为什么不",false
"从那之后",false
"性和",false
"虾酱",true
"咋吃",false
"烧卖",true
"评曰",false
"弄完",false
"四类分子",true
"下呀",false
"德英",false
"俾埋",false
"镀锌",false
"啥啥",false
"门内",false
"下呗",true
"梗有",false
"泽野弘之",false
"飞离",true
"观察家们",true
"冲抵",true
"低吼",true
"炭黑",true
"地睇",false
"位女",false
"位好",false
"吃啥补啥",false
"可要",true
"澳尚",false
"肇嘉浜路",false
"下喽",false
"情狂",true
"够胆",false
"下喇",true
"叭啦叭啦",false
"攒些",false
"念以",false
"攞埋",false
"地看",false
"撩得",false
"当旺",true
"拉个",false
"线阿",false
"地真",false
"低呢",false
"早死",true
"增逾",false
"多年以来",true
"德荷",false
"扔向",false
"位处",false
"可触",false
"百分之三百",true
"环太",false
"各执己见",true
"会到",false
"好工",false
"首座",true
"将成",false
"怒目而视",true
"小阿",false
"们去",false
"当政",false
"当放",false
"日增",false
"当攻",false
"地矗",false
"念之",false
"听踏",false
"喊出",true
"倒有",false
"攒上",false
"攒下",false
"地知",false
"攒一",false
"大喊大叫",true
"己酯",false
"感恩蔡澜叹",false
"喜多村英梨",true
"三年五载",true
"烧到",false
"冲掉",true
"下啥",false
"书阿",false
"喊冤",false
"所在之处",false
"地瞅",false
"的欸",false
"泪下",false
"看火",false
"有说",false
"有请",true
"北医三院",true
"梗是",false
"有误",true
"念上",false
"将才",true
"要到",false
"众口难调",true
"新图",false
"当数",false
"到妹",false
"有话",false
"倒李",false
"找落",false
"香芋扣肉",true
"下啊",false
"有诗",false
"像极",false
"道路以目",false
"阿坝藏族",true
"百足之虫死而不僵",true
"舔他",false
"小陈",true
"有识",true
"令人羡慕",false
"均可",false
"据南",false
"多门",false
"抗韩",false
"讨吃",false
"美啦",false
"在要",false
"掐线",false
"裆啊",false
"同志亦凡人",true
"人非圣贤",true
"贱党猥业",false
"长势喜人",true
"有头有脸",true
"会写",false
"押上",true
"拦下",true
"五邑",false
"不为尧存",false
"美啊",false
"嘛捏",false
"美商",false
"均受",false
"躲在",false
"小间",true
"杯赛",false
"会出",false
"续聘",false
"喊到",false
"百岁老人",true
"依此",false
"五部",true
"小闪",false
"小门",true
"七点三十分",false
"采挖",false
"枪揣",false
"杀呀",false
"烧出",false
"做白日梦",true
"差不多咯",false
"下回",true
"半熟",true
"向斜",true
"妈的",true
"当是",false
"亚克西啊",true
"抱着",true
"均占",false
"唠唠叨叨",true
"淋上",false
"有被",false
"看猴",false
"小锤",false
"寒啊",false
"七点四十分",true
"小错",false
"瞄着",false
"赢来",false
"小锅",true
"有袁",false
"德股",true
"下嘛",false
"而立",true
"渣呀",false
"状的",false
"多源",false
"逼啥",false
"李旺阳友",false
"饿饿饿饿饿饿饿饿",false
"老鬼阿定",false
"来出",false
"弄回",false
"吃吃",false
"大报恩寺",false
"沃草腻马鼻",false
"买粥",true
"五道",false
"正黑",false
"党锢之祸",true
"玩上",false
"哭天抹泪",false
"有装",false
"莺莺燕燕",true
"牛呢",false
"喊卡",false
"酒酣耳热",true
"吴晓波们",false
"小钻",true
"郭姓",true
"枪把",false
"秃笔",true
"像散",false
"不鸣则已",true
"无缘无故地",false
"一格",false
"经此",false
"扭完",false
"笑翻",true
"枫红散策",false
"美呢",false
"全出",false
"可讲",false
"奶是",false
"可设",false
"偷打",false
"观功念恩",true
"可让",false
"希希希希希希希希希希希希希",false
"品诺意式",false
"当查",false
"压的",false
"删阿",false
"叙叙",false
"想买",false
"腐到",false
"番呢",false
"轮上",false
"连笔",false
"努瓦拉埃利亚",false
"在裆",false
"明珠暗投",true
"众所",false
"七上八下",true
"美君",false
"可读",true
"美吗",false
"首届",true
"看狗",false
"诩为",false
"小铁",true
"地电",false
"当某",false
"咗做",false
"跨站",false
"挑来",false
"得蹭",false
"喊叫",true
"亚克西呀",true
"顶掉",false
"些啥",false
"当机",true
"看爱",false
"地痛",false
"美哦",false
"下场",true
"扔回",false
"美哟",false
"当有",false
"穆斯林们",true
"差身而过",true
"顶推",false
"市井之徒",true
"当朝",false
"共铲",true
"美哉",false
"百脑汇店",true
"下坠",true
"当来",false
"佼个",false
"当条",false
"在行",false
"裆和",false
"有解",true
"个诺",false
"周总",true
"低回",false
"逼呀",false
"挑有",false
"美咖",false
"有角",false
"聊胜于无",false
"均分",true
"美和",false
"就看",false
"贴暖",false
"地疼",false
"胖就",false
"多如牛毛",true
"进水",false
"版去",true
"剃得",false
"咋咋",false
"咔咔咔咔咔",false
"包在",false
"变过",false
"盲人瞎马",false
"干甚",false
"仍用",true
"口腔溃疡",true
"不知名的",false
"逼去",true
"地牢",true
"倒把",true
"店淘",false
"美博",false
"腐啊",false
"美卖",false
"美南",false
"立等",true
"球都",false
"割开",true
"差不多大",true
"谁在",false
"春秋笔法",true
"听译",false
"五零",false
"咦咦咦咦咦",false
"莫有",false
"窝上",false
"心向",false
"在过",false
"言毕",false
"肉给",false
"飞累",false
"撞歪",false
"奉命唯谨",true
"弄弄",true
"弄开",false
"扶的",false
"喝过",false
"扔出",false
"山田洋次",true
"将朝",false
"美台",false
"看用",false
"可调",false
"看电",false
"都擦",false
"开门揖盗",true
"界第",false
"成人之美",true
"无所依请",false
"将有",false
"雀屏中选",false
"弹个",false
"价呀",false
"变软",false
"阳奉阴违",true
"爸送",false
"西班牙人",true
"抬来",false
"易忘",false
"攞到",false
"拿伞",false
"官金泰荣",false
"前一",false
"飞光不度",false
"扬我",false
"起笑",false
"撞死",true
"起笔",false
"任它",false
"二零一零",false
"引人深思",true
"夙夜匪懈",true
"条街",false
"贩肾",false
"现以",true
"拿住",true
"坐紧",false
"死也瞑目",false
"在转",false
"萌也",false
"别吓",false
"倒推",true
"喊啥",false
"孙一",false
"我檫",true
"笑称",false
"拿人",false
"渣古",false
"弄干",false
"倒掉",true
"如此看来",true
"拿事",false
"坐地分赃",true
"百般刁难",true
"冲来",true
"当佢",false
"在身",false
"攞去",true
"下写",false
"奶总",false
"曲终",true
"扶着",true
"修完",true
"绝不食言",true
"酒来",false
"韩男",false
"孙也",false
"利与",false
"耶哈哈哈哈",false
"拿份",false
"有车",false
"香在",false
"讯由",false
"利为",false
"低做",false
"拿他",false
"建设者们",false
"淡啊",false
"美刀",false
"说得过去",false
"尊王攘夷",false
"有辱",false
"拿个",false
"循环不断",false
"住胃囊尾",false
"利他",true
"子曰",false
"断魂",false
"有辙",false
"可贷",false
"正香",false
"忧欢",false
"拿不",false
"无形之中",true
"顶新",false
"活鸡",true
"夜车",true
"有辆",false
"莫此为甚",false
"拿书",true
"进深",false
"小有名气",false
"福田己津央",true
"地王",false
"泻肝",false
"可赞",false
"有迷",false
"级痛",false
"是妹",false
"可资",false
"美加",true
"版只",false
"可走",false
"有违",true
"梗我",false
"地玩",false
"下先",false
"既有",true
"周是",false
"有过",false
"朕再推特",false
"淌水",false
"干看",false
"起租",false
"会喷",false
"有谱",true
"偶不",false
"偶与",false
"跨网",false
"令牌",true
"偶上",false
"吃龟苓膏",false
"特鲁姆普",true
"三爽",false
"不足蛇吞象",false
"吵阿",false
"不知道耶",false
"地火",false
"喂水",false
"偶个",false
"半老徐娘",true
"从未用过",false
"有调",true
"有谂",false
"地灾",false
"偶为",false
"好不真实",true
"干着",false
"唱和",false
"变超",false
"淌汤",false
"肏你",false
"哈哈哈妳",false
"偶也",false
"逼出",true
"我必犯人",true
"淌汗",false
"最好",false
"不分昼夜",true
"货没",false
"跳阿",false
"是瞻",false
"冬来",false
"偶买",false
"不识抬举",true
"含油",false
"会唱",false
"跑个",false
"淌油",false
"没得说的",false
"下到",false
"哈哈哈好",false
"从下到上",false
"胃要",false
"理你的狗叻",false
"下刀",false
"跑下",false
"跑上",false
"红砖",true
"缝好",false
"住喇",false
"车下",false
"当我",false
"独得",false
"糙啊",false
"扔去",false
"偶从",false
"下剩",false
"撞毁",true
"会啥",false
"以飨读者",false
"锯下",false
"老祖宗们",true
"己队",false
"偶以",false
"萌不",false
"正高",false
"翘起",true
"转推",true
"挎上",false
"会啊",false
"登推",false
"当打",false
"看王",false
"小酌",false
"骚到",false
"瓶内",false
"有贺",false
"大展身手",true
"当推",false
"同党",true
"小邹",true
"亡出",false
"低到",false
"下厨",true
"首堵",true
"奶我",false
"听袁",false
"既无",false
"小邪",true
"有责",false
"地煞",false
"有货",true
"胆识过人",true
"小邓",false
"看的",false
"地照",false
"有负",false
"管中",false
"可达",true
"含混",false
"冬春",false
"掐算",false
"寻回",true
"会咋",false
"未娶",false
"美债",false
"价外",false
"扔到",true
"无往不利",true
"可过",false
"共通",false
"会哭",false
"醒起",false
"弄小",false
"小郑",true
"挑掉",true
"送耶",false
"一颠一颠",true
"攞出",false
"那首",false
"势在必然",true
"天涯若比邻",true
"冬暖",false
"飞经",false
"向海",false
"干的",true
"裸在",false
"当挡",false
"在调",false
"被推",false
"澳媒",true
"线都",false
"据国",false
"婊子养的",false
"板野友美",false
"自艾未未",false
"会呢",false
"借力打力",true
"微博吐槽",false
"角钱",false
"看白",false
"允执厥中",false
"贱又",false
"匀出",false
"活鱼",true
"跑位",true
"会呀",false
"这件",false
"立碑",true
"架来",false
"可转",false
"美使",false
"好不好看",true
"咧着",false
"美佬",false
"唱成",false
"肿起",false
"逼便",false
"有道",true
"河上",false
"小输",false
"呱叽呱叽",false
"共轭",true
"封二",false
"讨个",false
"伤停补时",false
"些什",false
"美但",false
"三天打鱼",true
"地湿",false
"谈妥",false
"淡的",false
"泪垂",false
"喂牛",false
"弹下",false
"暗贱难防",true
"只怪",false
"有鉴",false
"拿台",false
"当系",false
"哇哇哇哇哇",false
"史沫太莱",false
"偶做",false
"促撤",false
"固若金汤",true
"租车",true
"猿的",false
"顶硬",false
"呸喽呸喽",false
"些些",false
"风靡一时",true
"拿反",false
"等我",true
"小过",true
"弃官",true
"图没",false
"不可不看",true
"破出",false
"为雅",false
"攒在",false
"连霍义昌",false
"咩讲",false
"送过",true
"妳很",false
"可通",false
"称艾未未",false
"或用",false
"共运",false
"地滑",true
"妳得",false
"共进",true
"天外有天",true
"积到",false
"拿包",false
"朝三暮四",true
"均富",false
"对境",false
"马特维延科",true
"睬她",false
"京奥",false
"曺太",false
"线还",false
"瞅我",false
"连想",true
"漫口碧透",true
"曼联红魔",true
"现将",false
"变脆",false
"像纸",false
"喂狗",false
"对壹",false
"美侨",true
"鱼狗",false
"醉入",false
"些个",false
"奉子成婚",true
"雷利史考特",true
"一朵",true
"跑偏",true
"现就",false
"口亨口亨",true
"头头脑脑们",false
"共达",false
"己见",false
"飞黄腾达",true
"肉推",false
"哈哈哈哈好",false
"向维",false
"来远",false
"忌太",false
"胃阿",false
"略宽",true
"吃不下饭",false
"兮归",false
"啥上",false
"杯阿",false
"起更",false
"现已",false
"锯几",false
"睇呢",false
"韩大",false
"向红",false
"哈哈哈哈太",false
"洒满",true
"对奥",false
"地漏",true
"厂厂",false
"美中",false
"屎炸",false
"对好",false
"排好",false
"扬美",false
"拿勺",false
"对女",false
"跑出",false
"偶党",false
"美东",false
"听雷",false
"扶正",true
"待月西厢",false
"怒过",false
"降将",false
"塔上",false
"塔下",false
"扔得",false
"裆中",false
"那陀",false
"喷的",false
"白菜帮子",true
"听雨",true
"勘啊",false
"起晚",true
"当紧",false
"好不好的",false
"贷给",false
"孩有",false
"晩上",true
"对妳",false
"吵要",false
"渐弱",true
"拿刀",false
"拿分",false
"听阿",false
"识读",false
"射进",false
"屮艸芔茻",true
"成吉思汗陵",true
"跑入",false
"不可想像",true
"希拉里克林顿",true
"掉呢",false
"些小",false
"税是",false
"千里走单骑",true
"哈哈哈哈妳",false
"听陈",false
"扔扔",false
"腌成",false
"识讲",false
"跑光",false
"碟就",false
"完完",false
"对姐",false
"有胆",false
"胜马",false
"旦上",false
"凯旋而归",true
"毛主",false
"人扒",false
"共赏",true
"传为美谈",false
"笑曰",false
"不尽如人意",true
"称多",false
"阿对",false
"抖阿",false
"连打",true
"贵为",false
"共赢",true
"好不好用",false
"下于",false
"对娃",false
"下井",false
"损到",false
"偶到",true
"各说各话",true
"小超",true
"抗过",false
"连扳",false
"木村拓哉",false
"称奇",true
"有功之臣",true
"有得有失",true
"又起",false
"在野",false
"偷换",false
"拿出",true
"色当",false
"连我",false
"人所",false
"拿准",false
"而成",false
"称奥",false
"听闻",true
"而战",false
"刨冰",true
"低低",false
"下仔",false
"地水",false
"泪喷",true
"就按",false
"看不顺眼",true
"共贺",false
"头贴",false
"连拍",true
"喝采",true
"任建宇案",false
"泪啊",true
"保有",true
"下个",true
"立早",false
"听错",true
"热的",false
"有邪",false
"小贪",false
"泼出",true
"把粥",false
"地波",false
"利出",false
"跑分",true
"变胖",false
"总出烂片",false
"下下",false
"下上",false
"下三",false
"眉来眼去",true
"变酸",true
"念啥",false
"射的",false
"洒洒",false
"用把",false
"下书",false
"还威",false
"妹高",false
"存完",false
"国盲夜奔",false
"拿全",true
"喝醉",false
"美属",true
"有部",true
"立新",false
"忽忽",false
"柔的",false
"盯上",true
"真不咋滴",true
"具呀",false
